number,value,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16053034,3000621087298,145410326673844952746931275,173624101270380280288150,48235681781451,295527283005,39735647783777490668798,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16515945933106645830103,1219105214138376479629
16053334,2998372359847,145415964013812513389621173,173644275156153254072530,48463223523622,294756081415,39667915351510525214047,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16475549491678148115456,1219340530634036894275
16053634,3003523234628,145542976363913976147891464,173644275156153254072530,48373485674650,294296572838,39804327910959202923008,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16516468422293021102862,1222567818259582282290
16053934,2999856720764,145123732410685016802461711,173143571039846909548304,48196288757677,294865717065,39529535728928585973988,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16473180201466150168094,1221291340185376950511
16054234,3000326161467,145122389541275771109110561,173141475734988528933164,48105540200632,293711492455,39758499194768832850915,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16486246909499000928910,1220884359591481596971
16054534,3000385517903,145016783058484127044220463,173156215395675106828323,48519896437507,293342061196,39479360893547513534794,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16487028879109823618878,1220891218317510918043
16054834,3004806659475,145285035646993619894285804,173156215395675106828323,48659396967074,293313486213,39370130346794318319341,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16522572501834053580089,1223636924164595628717
16055134,2992558607208,144824777690949998294981725,173156215395675106828323,47928413479609,294024297045,39873870673050571133765,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16466363363888968240312,1212856916582402387509
16055434,2996020227209,144878999598280505072028080,173156215395675106828323,48097291760955,293196522515,39850416674955089715253,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16508473814292505298903,1213855457705388280616
16055734,2989615840236,144340466033447190586063875,172905362491464595465763,48179682473843,294275489348,39463382069024070403198,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16423935100944514873837,1212308624995588050285
16056034,2988641098371,144341075257194752903410132,172905362491464595465763,47854636589024,293933500757,39778426953234916274513,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16420010400417104057503,1211397402387117786788
16056334,2985028068596,144215455663345846036652612,172905362491464595465763,47810939581278,294152083198,39785201678951162151644,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16408640120389981360450,1207843071938892222830
16056634,2984177181636,144086339038046857054556335,172905367408377228938942,48018921583547,294006130798,39632947071321386505017,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16390546313542368805244,1208145409946489685888
16056934,2988080685030,144205068952896517529314803,172892773412463330677475,48243960537191,292925094287,39585083319919336819928,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16425362914256287605823,1210316928247099592784
16057234,2984410410021,144047802338678314797812004,172833338818646069786800,47634325331090,293910850437,39915277470609805768128,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16410891999965252932526,1206906551597294857391
16057534,2979906797248,143849195708650785725825670,172841729617253101173399,48006398775598,293697343620,39635695780028729233379,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16359590431581889012267,1205409973853544654004
16057834,2982726022207,143850426510899535544940911,172841729617253101173399,47844945183796,293501035837,39797262269862840450114,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16386143327867050635043,1206841166818722353232
16058134,2984188733980,143986078341498235064204384,172841729617253101173399,48224015744918,293405361475,39496470023255900354022,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16387330560365169066690,1208530751598103771176
16058434,2990036511559,144349006878262449576634635,172844402148988596939216,47999481103480,293198274579,39711410099075707074022,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16413193553317384387869,1213752567732709728469
