number,value,sqrtPriceX96,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,tickLowerFeeGrowthOutside0X128,tickLowerFeeGrowthOutside1X128,tickUpperFeeGrowthOutside0X128,tickUpperFeeGrowthOutside1X128
16325293,55103596975,2271547811269663749874999379747656,44067805984421317765,2187719793113583860249136429994152,1031678960024970184476561204158541458927407,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16327693,53976654670,2278963467811610924559834796119597,34868252751847604933,2187805831243252254980839600562232,1031765780568596824914035163351399397902300,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16330093,55741661269,2267413241128174794655584358099024,34396560796066577294,2187895248352137791329379734677680,1031814715042307589337914533503405948560928,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16332493,59921853908,2240529671869211346969474070439831,46349079997479247951,2188161852076073973091810207388591,1031971310650160200599174821712229680667030,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16334893,60345203480,2237870323056566360458514750250784,37964978180838903183,2188338406522856749666304282609199,1032107007564499917271702765512590170908399,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16337293,60335198237,2237978176821677259706955399236465,79169642553445467750,2188576877776472562352511457008504,1032296699767923071582288608209183647163017,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16339693,59733292736,2241815697071586547358239406896202,46861947663853502041,2188617034472554577221511101499629,1032337033783598285734218800979039038977267,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16342093,59589598557,2242750918177118550237177512722154,35155260973602343653,2188718463756351978676866316944469,1032420289081124570313600413282562891684557,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16344493,60537837348,2236729089119601320024213576702796,43247063135581770939,2188778417098339616838592599868311,1032455208786461180467846422872284112082356,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16346893,59505963912,2243303142916477552759593610578234,36646409065359817286,2188817874376076614520840110166556,1032500929221358151060363408727492772015604,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
