number,value,ETH / USD,STETH / ETH ETH/USD Composite
14895647,11027,182515000000,178899748355
14895947,11027,181815437724,178214042988
14896247,11027,180934000000,177350064756
14896547,11027,179722000000,176162072015
14896847,11027,176246628047,172755540126
14897147,11027,177062568884,173555318831
14897447,11027,176166957613,172677447801
14897747,11027,176333080000,172840279641
14898047,11027,176182000000,172692192229
14898347,11027,175854000000,172370689243
14898647,11012,174394517569,170706073125
14898947,11012,174836000000,171138218202
14899247,11012,176110000000,172385273099
14899547,11012,177759019533,173999415865
14899847,11012,178135045673,174367489052
14900147,11012,177551600000,173796383256
14900447,11012,176287120000,172558647011
14900747,11012,175248240000,171541739325
14901047,11012,174986000000,171285045702
14901347,11012,176280000000,172551677599
14901647,11012,176822000125,173082214420
14901947,11012,176964570979,173221769900
14902247,11012,176806433979,173066977498
14902547,11012,177266856259,173517661846
14902847,11012,177198122517,173450381822
14903147,11012,176599000000,172863930748
14903447,11012,175916450000,172195816682
14903747,11012,177212584388,173464537825
14904047,11012,177639000000,173881934746
14904347,11012,177310386238,173560271165
14904647,11011,177582000000,173815242070
14904947,11011,177817214535,174045467382
14905247,11011,177193000000,173434493294
14905547,11011,180280266113,176456274256
14905847,11011,179973554758,176156068670
14906147,11011,180139974624,176318958542
14906447,11011,178994720942,175197997262
14906747,11011,179309635132,175506231690
14907047,11011,179167546571,175367157022
14907347,11011,179164620000,175364292528
14907647,11011,179713465398,175901496162
14907947,11011,179150834662,175350799596
14908247,11011,179129500000,175329917471
14908547,11011,178057500000,174280656063
14908847,11011,178384500000,174600719944
14909147,11011,178635441483,174846338614
14909447,11011,179005620000,175208665136
14909747,11011,179605862518,175796175687
14910047,11011,181724000000,177869384566
14910347,11011,181713028821,177858646101
14910647,11018,182233230141,178489298004
14910947,11018,182156000000,178413654535
14911247,11018,181321000000,177595809383
14911547,11018,180861062928,177145321593
14911847,11018,180606500000,176895988591
14912147,11018,183455580000,179686535018
14912447,11018,186138263718,182314103728
14912747,11018,186778488744,182941175505
14913047,11018,187618025000,183763463717
14913347,11018,187251500000,183404468874
14913647,11018,188504502597,184631728873
14913947,11018,189070000000,185185608286
14914247,11018,190166745119,186259821075
14914547,11018,190696000000,186778202558
14914847,11018,190939480957,187016681265
14915147,11018,190959062885,187035860888
14915447,11018,191081000000,187155292838
14915747,11018,187618533181,183763961458
14916047,11018,185326515344,181519032504
14916347,11008,185455877617,181467018159
14916647,11008,185917000000,181918222536
14916947,11008,186271607405,182265202903
14917247,11008,187209000000,183182433682
14917547,11008,185605786535,181613702776
14917847,11008,179926214485,176056289241
14918147,11008,175999132168,172213672187
14918447,11008,173904000000,170163602963
14918747,11008,175757500000,171977237141
14919047,11008,175361000000,171589265222
14919347,11008,176029000000,172242897610
14919647,11008,175475851608,171701646555
14919947,11008,177013560000,173206281298
14920247,11008,176415450000,172621035688
14920547,11008,175807507418,172026168979
14920847,11008,174054239650,170310611198
14921147,11008,175713280000,171933968242
14921447,11008,178727888420,174883737254
14921747,11008,177788188791,173964249062
14922047,11008,178180404753,174348029086
14922347,11017,180022521481,176296684596
14922647,11017,184594000000,180773549490
14922947,11017,184433000000,180615881627
14923247,11017,184179940000,180368059084
14923547,11017,180830942828,177088374447
14923847,11017,182427000000,178651398815
14924147,11017,181838537037,178075114978
14924447,11017,182516364446,178738913729
14924747,11017,178403957382,174711619115
14925047,11017,180772103313,177030752704
14925347,11017,180293000000,176561565155
14925647,11017,180598100000,176860350651
14925947,11017,180500000000,176764280978
14926247,11017,180775465000,177034044816
14926547,11017,180708520000,176968485343
14926847,11017,179408311742,175695186851
14927147,11017,181982000000,178215608759
14927447,11017,181215632152,177465102046
14927747,11017,179475960184,175761435207
14928047,10958,179394000000,174743416853
14928347,10958,179040000000,174398593896
14928647,10958,179421000000,174769716909
14928947,10958,179822013378,175160334476
14929247,10958,180175000000,175504170326
14929547,10958,179322702064,174673967234
14929847,10958,179321220000,174672523590
14930147,10958,178877813491,174240611885
14930447,10958,179287574598,174639750407
14930747,10958,179744950000,175085268877
14931047,10958,180160053592,175489611386
14931347,10958,179812905044,175151462265
14931647,10958,180879000000,176189919935
14931947,10958,182482693238,177752039270
14932247,10958,181485500000,176780697120
14932547,10958,180786363948,176099685366
14932847,10958,179397235390,174746568369
14933147,10958,179583620000,174928121172
14933447,10958,179574000000,174918750560
14933747,10958,180608000000,175925945299
14934047,10949,180225000000,175408596812
14934347,10949,179275846963,174484809311
14934647,10949,179430500000,174635329340
14934947,10949,179540030000,174741932217
14935247,10949,178726138454,173949791426
14935547,10949,176670986851,171949562496
14935847,10949,177745943200,172995791293
14936147,10949,178481953898,173712132554
14936447,10949,179466000000,174669880624
14936747,10949,179251000000,174460626368
14937047,10949,179302104475,174510365107
14937347,10949,178890500000,174109760510
14937647,10949,177676000000,172927717282
14937947,10949,176856514891,172130132413
14938247,10949,177046000000,172314553648
14938547,10949,173226440523,168597069568
14938847,10725,172440006926,164401916033
14939147,10725,173467000000,165381037016
14939447,10725,171654548610,163653070945
14939747,10725,168953000000,161077451890
14940047,10725,167478500000,159671683997
14940347,10725,167912000000,160084976897
14940647,10725,167947553820,160118873417
14940947,10725,168022412144,160190242307
14941247,10725,166289000000,158537631160
14941547,10725,167880587746,160055028889
14941847,10725,167632500000,159818505466
14942147,10725,167361000000,159559661123
14942447,10725,167608000000,159795147505
14942747,10725,166837000000,159060086775
14943047,10725,166440504995,158682073925
14943347,10725,163834028093,156197094920
14943647,10725,160238000000,152768691506
14943947,10725,158525061114,151135599279
14944247,10725,158289867648,150911369083
14944547,10803,156974000000,150739272133
14944847,10803,155435942261,149262303310
14945147,10803,150675000000,144690457201
14945447,10803,153664118300,147560853043
14945747,10803,153390162368,147297778153
14946047,10803,155262000000,149095269726
14946347,10803,154031000000,147913162855
14946647,10803,153888000000,147775842560
14946947,10803,154132000000,148010151314
14947247,10803,153786000000,147677893819
14947547,10803,151965916304,145930100607
14947847,10803,146023066424,140223290146
14948147,10803,146838000000,141005856011
14948447,10803,144638956388,138894154497
14948747,10803,145659000000,139873683793
14949047,10803,146273000000,140463296805
14949347,10803,147113201359,141270126862
14949647,10803,146602441748,140779653714
14949947,10803,146391000000,140576610055
14950247,10803,146528743572,140708882698
14950547,10808,145189253001,139485980353
14950847,10808,151896000000,145929275299
14951147,10808,152224355000,146244731975
14951447,10808,152228543802,146248756234
14951747,10808,151441960859,145493071562
14952047,10808,148358527697,142530760726
14952347,10808,148029000000,142214177419
14952647,10808,146631000000,140871093158
14952947,10808,145480373826,139765665473
14953247,10808,139688964023,134201751772
14953547,10808,134992260367,129689542360
14953847,10808,134286000000,129011025062
14954147,10808,136594703688,131229039072
14954447,10808,131331000000,126172102322
14954747,10808,133059329957,127832540636
14955047,10808,126592361888,121619605709
14955347,10585,121679989058,114497818465
14955647,10585,122340623426,115119458839
14955947,10585,124044485927,116722750726
14956247,10585,122990001620,115730507436
14956547,10585,120437000000,113328196930
14956847,10585,122761000000,115515022654
14957147,10585,123096500000,115830719741
14957447,10585,125200126414,117810179446
14957747,10585,122881995991,115628876847
14958047,10585,124626835174,117270726765
14958347,10825,123274444425,118623551124
14958647,10825,119350180708,114847341871
14958947,10825,120387325000,115845356825
14959247,10825,111649727403,107437410960
14959547,10825,111707000000,107492522779
14959847,10825,115593207031,111232111146
14960147,10825,121853391782,117256111898
14960447,10825,122600990776,117975505507
14960747,10825,123430000000,118773237904
14961047,10597,121207607392,114176573559
14961347,10597,118984266649,112082204786
14961647,10597,118109651181,111258324178
14961947,10597,122373632450,115274959614
14962247,10597,119870969947,112917472032
14962547,10597,124584933375,117357986977
14962847,10597,122557000000,115447690345
14963147,10597,122337000000,115240452146
14963447,10597,120193203759,113221013644
14963747,10597,118403500000,111535127359
14964047,10597,116645154406,109878780209
14964347,10597,117617500000,110794721796
14964647,10597,120121499550,113153468866
14964947,10597,120714849439,113712399602
14965247,10597,119928960242,112972098415
14965547,10597,114514527417,107871747034
14965847,10597,110448648679,104041722559
14966147,10597,112324382716,105808648661
14966447,10597,109258860304,102920951653
14966747,10620,102041382629,96329938282
14967047,10620,106570387745,100605446630
14967347,10620,111401927306,105166556013
14967647,10620,111399510602,105164274576
14967947,10620,112278511909,105994076559
14968247,10620,110410164646,104230304138
14968547,10620,108279302358,102218710141
14968847,10620,110174564053,104007890544
14969147,10620,117984154114,111380363449
14969447,10620,116438530460,109921251201
14969747,10620,121257662805,114470647822
14970047,10620,121933000000,115108185149
14970347,10620,124909000000,117917612942
14970647,10620,124240137524,117286187932
14970947,10620,121921973701,115097776013
14971247,10620,120766574570,114007046701
14971547,10620,119106225000,112439629958
14971847,10620,118442272150,111812839774
14972147,10620,116847693941,110307513047
14972447,10620,117194643659,110635043350
14972747,10563,112349114198,105492378599
14973047,10563,111758174065,104937503906
14973347,10563,113629500000,106694621667
14973647,10563,110799524504,104037361318
14973947,10563,110131503466,103410110015
14974247,10563,111193862279,104407632416
14974547,10563,112163997186,105318559392
14974847,10563,110367500000,103631703535
14975147,10563,109901932360,103194549775
14975447,10563,109728000000,103031232614
14975747,10563,109270929589,102602057491
14976047,10563,106763317292,100247486317
14976347,10563,106340000000,99850004339
14976647,10563,110924923424,104155107065
14976947,10563,109093850120,102435785291
14977247,10563,108277365876,101669131583
14977547,10563,110663450000,103909591525
14977847,10563,110190484708,103465491596
14978147,10563,110373000000,103636867867
14978447,10549,109530631437,102712584717
14978747,10549,109154093267,102359485240
14979047,10549,109925841422,103083193729
14979347,10549,107509140000,100816926783
14979647,10549,107320861429,100640368149
14979947,10549,108087000000,101358816238
14980247,10549,107757000000,101049358030
14980547,10549,108057737821,101331375567
14980847,10549,107967590751,101246839959
14981147,10549,109230840423,102431455050
14981447,10549,108724000000,101956164356
14981747,10549,108408000000,101659834677
14982047,10549,108637029912,101874607969
14982347,10549,108815000000,102041499801
14982647,10549,107785000000,101075615090
14982947,10549,107766880000,101058623021
14983247,10549,107789500000,101079834975
14983547,10549,107642000000,100941516533
14983847,10549,100342464619,94096361563
14984147,10549,99271500000,93092062193
14984447,10518,99795647056,93310859047
14984747,10518,101236000000,94657616891
14985047,10518,100013403101,93514465158
14985347,10518,99906574763,93414578597
14985647,10518,99363000000,92906325686
14985947,10518,99466073654,93002701545
14986247,10518,98218124218,91835844700
14986547,10518,94617015306,88468738258
14986847,10518,91381911177,85443853362
14987147,10518,90740930642,84844524172
14987447,10518,99122000000,92680986028
14987747,10518,99134000000,92692206260
14988047,10518,99108679915,92668531491
14988347,10518,96405444002,90140953659
14988647,10518,97092681748,90783534235
14988947,10518,96510829157,90239490816
14989247,10518,94484128174,88344486220
14989547,10518,96129000000,89882473173
14989847,10518,96565703485,90290799373
14990147,10568,99527000000,93494405109
14990447,10568,106049135328,99621216552
14990747,10568,106093000000,99662422470
14991047,10568,104237500000,97919389236
14991347,10568,103091842469,96843173041
14991647,10568,106219000000,99780785277
14991947,10568,105147000000,98773762034
14992247,10568,105755039342,99344946502
14992547,10568,110263713214,103580337718
14992847,10568,113983037255,107074223685
14993147,10568,113558500000,106675418756
14993447,10568,112633000000,105806015761
14993747,10568,108672478433,102085551888
14994047,10568,108596911704,102014565459
14994347,10568,107099429446,100607849564
14994647,10568,108606187342,102023278876
14994947,10568,106917000000,100436477649
14995247,10568,108228782624,101668749657
14995547,10568,110861482729,104141874840
14995847,10556,112618123358,105672969321
14996147,10556,114831000000,107749377971
14996447,10556,115698702640,108563569433
14996747,10556,112384791677,105454027193
14997047,10556,112608587473,105664021513
14997347,10556,112812845000,105855682489
14997647,10556,111378503286,104509796557
14997947,10556,109304124580,102563344682
14998247,10556,109966203864,103184593570
14998547,10556,111992001487,105085460354
14998847,10556,110912950274,104072954176
14999147,10556,110569070000,103750280981
14999447,10556,112888457678,105926632137
14999747,10556,113708000000,106695633325
