number,value,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16219735,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219736,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219737,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219738,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219739,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219740,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219741,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219742,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219743,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219744,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219745,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
16219746,2981195063188,149811868468259719355162105,179765246450053705933358,49724147985024,299442523517,42285185896561852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16696769800562648312185,1184807607948644466657
